13,13,13,13,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3,13,13
13,13,13,3,13,13,13,13,13,13,13,13,13,2,13,4,5,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,4,16,16,5,13,13,13,13,7,8,13,13,13,13,13,3,13,13,13,13,13,13,13
13,13,13,13,13,4,16,17,6,6,15,5,13,13,13,13,13,13,4,16,16,5,4,16,16,5,13,13,13,13
13,13,13,13,4,17,6,6,6,6,6,12,13,13,13,13,13,13,14,6,6,15,17,6,6,12,13,13,13,13
13,13,3,1,14,6,6,6,6,6,6,15,5,13,2,13,13,13,7,11,6,6,6,6,6,15,16,5,13,13
13,13,13,13,14,6,6,6,6,6,6,6,12,4,16,5,13,4,16,17,6,6,6,6,6,6,6,12,13,13
13,13,13,13,7,10,11,6,6,6,6,6,12,14,6,12,13,14,6,6,6,6,6,6,6,6,6,12,13,13
13,13,13,13,13,13,7,10,11,6,6,9,8,7,10,8,13,14,6,6,6,6,6,6,6,9,10,8,13,13
13,13,13,13,13,13,13,13,7,10,10,8,0,13,13,13,13,7,11,6,6,6,6,6,6,12,0,13,13,13
13,13,1,13,13,13,4,16,16,5,13,13,13,13,13,13,13,13,7,11,6,6,6,6,9,8,13,13,13,13
13,13,13,13,4,16,17,6,6,15,16,5,13,3,13,13,13,13,13,7,10,10,10,10,8,13,13,13,13,13
13,13,13,4,17,6,6,6,6,6,6,15,5,13,13,13,13,13,13,13,13,13,13,13,13,13,2,1,13,13
13,13,13,14,6,6,6,6,6,6,6,6,12,13,13,13,13,13,13,13,13,13,13,2,13,13,13,13,3,13
13,13,13,14,6,6,6,6,6,6,6,6,12,13,13,13,13,13,13,13,13,13,13,13,13,1,13,13,13,13
13,13,13,7,11,6,6,6,6,6,6,9,8,13,1,13,13,13,4,5,4,16,5,4,16,16,16,16,16,16
13,13,13,13,7,10,10,11,6,6,9,8,13,3,4,16,16,5,14,15,17,6,15,17,6,6,6,6,6,6
13,13,13,13,13,2,13,7,10,10,8,13,13,13,14,6,6,15,17,6,6,6,6,6,6,6,6,6,6,6
2,13,3,13,13,13,13,13,13,13,13,13,13,4,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
13,13,13,13,13,13,13,13,13,13,13,13,13,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
